s,x,y,kappa,n_l,n_r
0.0,0.119,-0.236,0.21,0.574,0.586
0.05,0.169,-0.235,0.295,0.563,0.582
0.1,0.219,-0.233,0.342,0.544,0.569
0.15,0.268,-0.231,0.274,0.515,0.569
0.2,0.318,-0.228,0.217,0.526,0.552
0.25,0.368,-0.224,0.172,0.523,0.56
0.3,0.418,-0.22,0.138,0.789,0.565
0.35,0.468,-0.215,0.112,0.503,0.559
0.4,0.518,-0.21,0.094,0.511,0.57
0.45,0.567,-0.205,0.083,0.496,0.575
0.5,0.617,-0.2,0.076,0.496,0.57
0.55,0.667,-0.195,0.073,0.501,0.581
0.6,0.716,-0.189,0.072,0.495,0.587
0.65,0.766,-0.183,0.073,0.49,0.578
0.7,0.816,-0.177,0.074,0.514,0.589
0.75,0.865,-0.171,0.075,0.513,0.585
0.8,0.915,-0.165,0.075,0.512,0.582
0.85,0.965,-0.158,0.075,0.531,0.594
0.9,1.014,-0.152,0.074,0.519,0.586
0.95,1.064,-0.145,0.072,0.538,0.593
1.0,1.113,-0.138,0.069,0.536,0.586
1.05,1.163,-0.13,0.067,0.534,0.589
1.1,1.212,-0.123,0.064,0.545,0.586
1.15,1.261,-0.116,0.061,0.555,0.583
1.2,1.311,-0.108,0.058,0.552,0.581
1.25,1.36,-0.1,0.055,0.555,0.579
1.3,1.41,-0.092,0.054,0.567,0.588
1.35,1.459,-0.084,0.052,0.575,0.576
1.4,1.508,-0.076,0.052,0.566,0.588
1.45,1.558,-0.067,0.051,0.573,0.585
1.5,1.607,-0.059,0.051,0.57,0.587
1.55,1.656,-0.05,0.052,0.567,0.594
1.6,1.705,-0.041,0.052,0.583,0.585
1.65,1.755,-0.032,0.052,0.578,0.604
1.7,1.804,-0.023,0.053,0.573,0.599
1.75,1.853,-0.014,0.052,0.592,0.603
1.8,1.902,-0.005,0.052,0.592,0.608
1.85,1.951,0.004,0.05,0.589,0.602
1.9,2.0,0.014,0.048,0.59,0.617
1.95,2.049,0.023,0.045,0.591,0.612
2.0,2.098,0.033,0.04,0.595,0.62
2.05,2.147,0.043,0.035,0.592,0.612
2.1,2.196,0.053,0.028,0.592,0.616
2.15,2.245,0.063,0.02,0.595,0.604
2.2,2.294,0.073,0.01,0.602,0.608
2.25,2.343,0.083,-0.001,0.602,0.603
2.3,2.392,0.093,-0.012,0.602,0.608
2.35,2.441,0.103,-0.025,0.602,0.608
2.4,2.49,0.113,-0.039,0.602,0.597
2.45,2.539,0.123,-0.053,0.612,0.602
2.5,2.588,0.133,-0.067,0.609,0.601
2.55,2.637,0.142,-0.08,0.612,0.616
2.6,2.686,0.152,-0.091,0.612,0.612
2.65,2.736,0.161,-0.101,0.605,0.613
2.7,2.785,0.17,-0.108,0.607,0.612
2.75,2.834,0.179,-0.111,0.608,0.605
2.8,2.883,0.187,-0.11,0.614,0.616
2.85,2.933,0.195,-0.105,0.6,0.605
2.9,2.982,0.203,-0.095,0.597,0.612
2.95,3.031,0.211,-0.08,0.594,0.615
3.0,3.081,0.218,-0.062,0.591,0.615
3.05,3.13,0.225,-0.04,0.587,0.609
3.1,3.18,0.232,-0.016,0.587,0.611
3.15,3.229,0.239,0.009,0.579,0.618
3.2,3.279,0.247,0.035,0.572,0.624
3.25,3.328,0.254,0.059,0.572,0.623
3.3,3.378,0.261,0.082,0.558,0.64
3.35,3.427,0.269,0.101,0.568,0.638
3.4,3.477,0.277,0.118,0.584,0.645
3.45,3.526,0.285,0.132,0.576,0.63
3.5,3.575,0.293,0.142,0.568,0.619
3.55,3.624,0.302,0.15,0.56,0.629
3.6,3.674,0.311,0.155,0.562,0.629
3.65,3.723,0.321,0.158,0.589,0.615
3.7,3.772,0.331,0.159,0.584,0.621
3.75,3.821,0.341,0.158,0.589,0.622
3.8,3.869,0.352,0.158,0.605,0.63
3.85,3.918,0.363,0.157,0.611,0.621
3.9,3.967,0.374,0.157,0.608,0.643
3.95,4.015,0.386,0.157,0.635,0.632
4.0,4.064,0.398,0.159,0.635,0.673
4.05,4.112,0.411,0.162,0.658,0.66
4.1,4.161,0.424,0.167,0.648,0.691
4.15,4.209,0.437,0.173,0.722,0.691
4.2,4.257,0.451,0.182,0.736,0.725
4.25,4.305,0.465,0.192,0.734,0.726
4.3,4.352,0.48,0.205,0.74,0.752
4.35,4.4,0.495,0.22,0.755,0.755
4.4,4.448,0.511,0.237,0.745,0.78
4.45,4.495,0.527,0.258,0.767,0.768
4.5,4.542,0.544,0.282,0.792,0.79
4.55,4.589,0.562,0.31,0.788,0.808
4.6,4.635,0.58,0.342,0.788,0.8
4.65,4.681,0.599,0.379,0.81,0.805
4.7,4.727,0.619,0.422,0.809,0.807
4.75,4.773,0.64,0.47,0.806,0.821
4.8,4.818,0.662,0.524,0.819,0.817
4.85,4.862,0.685,0.584,0.846,0.849
4.9,4.906,0.71,0.651,0.853,0.875
4.95,4.948,0.735,0.722,0.841,0.89
5.0,4.99,0.763,0.796,0.823,0.938
5.05,5.031,0.792,0.872,0.821,0.958
5.1,5.071,0.822,0.945,0.82,1.0
5.15,5.108,0.855,1.012,0.824,1.087
5.2,5.145,0.889,1.069,0.824,1.142
5.25,5.179,0.926,1.111,0.827,1.177
5.3,5.211,0.964,1.134,0.827,1.151
5.35,5.241,1.004,1.137,0.827,1.11
5.4,5.269,1.045,1.119,0.827,1.049
5.45,5.294,1.089,1.081,0.83,0.986
5.5,5.317,1.133,1.028,0.833,0.939
5.55,5.338,1.179,0.962,0.837,0.912
5.6,5.356,1.225,0.888,0.846,0.881
5.65,5.373,1.272,0.811,0.85,0.867
5.7,5.387,1.32,0.733,0.841,0.847
5.75,5.4,1.369,0.658,0.787,0.832
5.8,5.411,1.417,0.587,0.78,0.83
