s,x,y,kappa,n_l,n_r
0.0,0.156,-0.081,0.295,0.442,0.709
0.1,0.254,-0.101,0.423,0.445,0.704
0.2,0.353,-0.116,0.512,0.449,0.698
0.3,0.452,-0.125,0.438,0.454,0.692
0.4,0.552,-0.131,0.372,0.458,0.686
0.5,0.652,-0.132,0.315,0.464,0.68
0.6,0.752,-0.13,0.266,0.469,0.674
0.7,0.852,-0.126,0.225,0.475,0.667
0.8,0.952,-0.119,0.19,0.481,0.661
0.9,1.052,-0.111,0.16,0.487,0.656
1.0,1.151,-0.101,0.136,0.494,0.65
1.1,1.251,-0.09,0.115,0.5,0.645
1.2,1.35,-0.077,0.097,0.507,0.641
1.3,1.449,-0.064,0.082,0.513,0.636
1.4,1.548,-0.049,0.069,0.519,0.633
1.5,1.647,-0.034,0.059,0.525,0.63
1.6,1.745,-0.019,0.049,0.531,0.627
1.7,1.844,-0.003,0.041,0.536,0.625
1.8,1.943,0.014,0.035,0.541,0.624
1.9,2.041,0.03,0.029,0.546,0.623
2.0,2.14,0.047,0.025,0.55,0.624
2.1,2.238,0.065,0.021,0.553,0.624
2.2,2.337,0.082,0.019,0.557,0.626
2.3,2.435,0.1,0.017,0.56,0.628
2.4,2.534,0.118,0.018,0.562,0.63
2.5,2.632,0.136,0.019,0.564,0.634
2.6,2.73,0.154,0.022,0.566,0.638
2.7,2.829,0.172,0.027,0.567,0.643
2.8,2.927,0.191,0.033,0.568,0.649
2.9,3.025,0.21,0.042,0.569,0.656
3.0,3.123,0.229,0.052,0.57,0.663
3.1,3.221,0.249,0.064,0.571,0.671
3.2,3.319,0.27,0.077,0.571,0.681
3.3,3.417,0.291,0.093,0.572,0.69
3.4,3.514,0.313,0.11,0.573,0.701
3.5,3.612,0.336,0.13,0.573,0.712
3.6,3.709,0.361,0.151,0.574,0.724
3.7,3.805,0.387,0.175,0.575,0.737
3.8,3.901,0.415,0.201,0.576,0.75
3.9,3.997,0.444,0.23,0.577,0.763
4.0,4.092,0.476,0.262,0.578,0.776
4.1,4.186,0.51,0.297,0.579,0.789
4.2,4.278,0.547,0.335,0.58,0.802
4.3,4.37,0.587,0.377,0.58,0.814
4.4,4.46,0.631,0.422,0.581,0.826
4.5,4.548,0.678,0.47,0.581,0.837
4.6,4.634,0.729,0.519,0.581,0.847
4.7,4.717,0.785,0.568,0.581,0.856
4.8,4.797,0.845,0.614,0.58,0.864
4.9,4.873,0.91,0.654,0.579,0.871
5.0,4.944,0.98,0.685,0.577,0.876
5.1,5.011,1.055,0.704,0.575,0.88
5.2,5.072,1.134,0.709,0.573,0.882
5.3,5.127,1.217,0.701,0.57,0.883
5.4,5.176,1.304,0.68,0.567,0.883
5.5,5.219,1.395,0.65,0.563,0.881
5.6,5.257,1.487,0.613,0.559,0.878
5.7,5.288,1.582,0.573,0.555,0.875
5.8,5.314,1.679,0.535,0.55,0.87
5.9,5.335,1.777,0.499,0.546,0.865
6.0,5.351,1.875,0.469,0.541,0.859
6.1,5.362,1.975,0.445,0.536,0.853
6.2,5.369,2.075,0.429,0.531,0.847
6.3,5.371,2.175,0.421,0.527,0.841
6.4,5.37,2.275,0.423,0.523,0.835
6.5,5.364,2.374,0.434,0.518,0.829
6.6,5.354,2.474,0.457,0.515,0.824
6.7,5.339,2.573,0.493,0.511,0.819
6.8,5.32,2.671,0.543,0.509,0.814
6.9,5.295,2.768,0.609,0.506,0.809
7.0,5.265,2.863,0.693,0.504,0.805
7.1,5.228,2.956,0.794,0.503,0.802
7.2,5.183,3.046,0.909,0.502,0.798
7.3,5.131,3.131,1.027,0.502,0.796
7.4,5.07,3.21,1.131,0.503,0.793
7.5,5.001,3.282,1.201,0.504,0.791
7.6,4.924,3.346,1.216,0.505,0.788
7.7,4.839,3.399,1.172,0.507,0.787
7.8,4.749,3.441,1.079,0.51,0.785
7.9,4.654,3.474,0.958,0.513,0.784
8.0,4.557,3.498,0.831,0.517,0.783
8.1,4.458,3.513,0.713,0.521,0.782
8.2,4.359,3.521,0.611,0.525,0.782
8.3,4.259,3.524,0.53,0.53,0.782
8.4,4.159,3.521,0.468,0.535,0.782
8.5,4.059,3.513,0.425,0.541,0.782
8.6,3.96,3.501,0.397,0.547,0.783
8.7,3.861,3.486,0.384,0.553,0.784
8.8,3.763,3.466,0.384,0.56,0.784
8.9,3.665,3.443,0.396,0.567,0.785
9.0,3.569,3.416,0.417,0.575,0.785
9.1,3.474,3.385,0.448,0.583,0.784
9.2,3.38,3.35,0.485,0.592,0.783
9.3,3.289,3.31,0.525,0.601,0.781
9.4,3.199,3.266,0.564,0.611,0.778
9.5,3.112,3.216,0.597,0.621,0.773
9.6,3.028,3.162,0.618,0.632,0.768
9.7,2.948,3.102,0.622,0.644,0.76
9.8,2.872,3.038,0.604,0.656,0.752
9.9,2.799,2.969,0.563,0.669,0.742
10.0,2.731,2.896,0.501,0.682,0.73
10.1,2.667,2.819,0.421,0.696,0.717
10.2,2.605,2.74,0.328,0.71,0.703
10.3,2.547,2.659,0.225,0.723,0.688
10.4,2.49,2.577,0.115,0.737,0.673
10.5,2.434,2.494,0.001,0.751,0.656
10.6,2.379,2.411,-0.119,0.764,0.64
10.7,2.322,2.328,-0.246,0.777,0.624
10.8,2.263,2.247,-0.38,0.788,0.609
