s,x,y,kappa,n_l,n_r
0.0,0.11,0.173,0.152,0.493,0.674
0.1,0.21,0.162,0.216,0.499,0.634
0.2,0.309,0.154,0.26,0.501,0.617
0.3,0.409,0.148,0.222,0.501,0.631
0.4,0.509,0.145,0.19,0.509,0.637
0.5,0.609,0.143,0.163,0.505,0.64
0.6,0.709,0.143,0.139,0.515,0.649
0.7,0.809,0.145,0.119,0.533,0.634
0.8,0.909,0.148,0.101,0.536,0.63
0.9,1.009,0.151,0.085,0.567,0.644
1.0,1.109,0.156,0.071,0.587,0.659
1.1,1.209,0.161,0.058,0.598,0.649
1.2,1.309,0.167,0.047,0.597,0.66
1.3,1.408,0.173,0.037,0.628,0.667
1.4,1.508,0.18,0.028,0.655,0.661
1.5,1.608,0.187,0.02,0.686,0.653
1.6,1.708,0.194,0.013,0.702,0.663
1.7,1.807,0.201,0.008,0.763,0.675
1.8,1.907,0.209,0.004,0.721,0.647
1.9,2.007,0.216,0.001,0.709,0.67
2.0,2.107,0.224,-0.0,0.696,0.667
2.1,2.206,0.231,-0.0,0.674,0.675
2.2,2.306,0.238,0.001,0.672,0.672
2.3,2.406,0.246,0.004,0.659,0.659
2.4,2.506,0.253,0.009,0.657,0.667
2.5,2.605,0.261,0.015,0.674,0.68
2.6,2.705,0.268,0.022,0.664,0.687
2.7,2.805,0.276,0.03,0.659,0.7
2.8,2.904,0.284,0.04,0.614,0.704
2.9,3.004,0.293,0.05,0.598,0.682
3.0,3.104,0.302,0.062,0.589,0.697
3.1,3.203,0.312,0.075,0.574,0.707
3.2,3.303,0.322,0.09,0.564,0.683
3.3,3.402,0.333,0.105,0.554,0.71
3.4,3.501,0.346,0.122,0.537,0.709
3.5,3.6,0.359,0.14,0.524,0.693
3.6,3.699,0.374,0.16,0.515,0.705
3.7,3.798,0.391,0.182,0.536,0.724
3.8,3.896,0.409,0.206,0.557,0.709
3.9,3.994,0.429,0.232,0.541,0.703
4.0,4.091,0.452,0.26,0.543,0.72
4.1,4.188,0.477,0.289,0.535,0.734
4.2,4.284,0.505,0.321,0.506,0.755
4.3,4.379,0.536,0.354,0.484,0.77
4.4,4.473,0.57,0.388,0.491,0.812
4.5,4.566,0.608,0.422,0.482,0.829
4.6,4.657,0.65,0.456,0.478,0.883
4.7,4.745,0.696,0.488,0.47,0.894
4.8,4.832,0.746,0.518,0.393,0.899
4.9,4.916,0.801,0.544,0.379,0.921
5.0,4.996,0.86,0.564,0.398,0.938
5.1,5.074,0.923,0.58,0.422,0.959
5.2,5.147,0.991,0.59,0.43,0.956
5.3,5.216,1.063,0.593,0.464,0.962
5.4,5.281,1.139,0.592,0.501,0.969
5.5,5.341,1.219,0.585,0.515,0.987
5.6,5.397,1.303,0.575,0.534,0.986
5.7,5.447,1.389,0.561,0.564,0.991
5.8,5.493,1.478,0.546,0.584,1.003
5.9,5.534,1.569,0.529,0.606,1.02
6.0,5.569,1.662,0.513,0.598,1.015
6.1,5.6,1.758,0.497,0.604,1.013
6.2,5.627,1.854,0.483,0.598,1.009
6.3,5.648,1.952,0.471,0.608,1.007
6.4,5.665,2.05,0.461,0.616,0.982
6.5,5.677,2.15,0.455,0.584,0.949
6.6,5.685,2.249,0.452,0.575,0.927
6.7,5.689,2.349,0.454,0.57,0.918
6.8,5.687,2.449,0.459,0.576,0.887
6.9,5.682,2.549,0.47,0.572,0.887
7.0,5.671,2.648,0.487,0.565,0.883
7.1,5.656,2.747,0.51,0.559,0.854
7.2,5.636,2.845,0.539,0.539,0.879
7.3,5.61,2.942,0.577,0.534,0.877
7.4,5.579,3.037,0.622,0.513,0.895
7.5,5.542,3.13,0.676,0.487,0.917
7.6,5.499,3.22,0.74,0.489,0.96
7.7,5.45,3.307,0.814,0.474,1.021
7.8,5.393,3.39,0.899,0.481,1.104
7.9,5.33,3.467,0.994,0.462,1.188
8.0,5.259,3.537,1.101,0.451,1.274
8.1,5.181,3.6,1.22,0.423,1.275
8.2,5.095,3.652,1.349,0.413,1.17
8.3,5.004,3.692,1.487,0.409,1.057
8.4,4.908,3.719,1.623,0.397,0.997
8.5,4.808,3.729,1.735,0.401,1.014
8.6,4.709,3.722,1.788,0.394,1.06
8.7,4.612,3.697,1.748,0.397,1.141
8.8,4.521,3.656,1.605,0.391,1.258
