s,x,y,kappa,n_l,n_r
0.0,0.11,0.173,0.152,0.48,0.632
0.1,0.21,0.162,0.216,0.488,0.634
0.2,0.309,0.154,0.26,0.497,0.637
0.3,0.409,0.148,0.222,0.505,0.639
0.4,0.509,0.145,0.19,0.514,0.64
0.5,0.609,0.143,0.163,0.523,0.642
0.6,0.709,0.143,0.139,0.531,0.643
0.7,0.809,0.145,0.119,0.539,0.644
0.8,0.909,0.148,0.101,0.548,0.645
0.9,1.009,0.151,0.085,0.555,0.646
1.0,1.109,0.156,0.071,0.563,0.647
1.1,1.209,0.161,0.058,0.57,0.648
1.2,1.309,0.167,0.047,0.577,0.649
1.3,1.408,0.173,0.037,0.583,0.651
1.4,1.508,0.18,0.028,0.589,0.652
1.5,1.608,0.187,0.02,0.593,0.653
1.6,1.708,0.194,0.013,0.598,0.654
1.7,1.807,0.201,0.008,0.601,0.656
1.8,1.907,0.209,0.004,0.604,0.658
1.9,2.007,0.216,0.001,0.606,0.66
2.0,2.107,0.224,-0.0,0.607,0.661
2.1,2.206,0.231,-0.0,0.607,0.664
2.2,2.306,0.238,0.001,0.606,0.666
2.3,2.406,0.246,0.004,0.605,0.668
2.4,2.506,0.253,0.009,0.602,0.671
2.5,2.605,0.261,0.015,0.599,0.674
2.6,2.705,0.268,0.022,0.596,0.677
2.7,2.805,0.276,0.03,0.591,0.681
2.8,2.904,0.284,0.04,0.586,0.684
2.9,3.004,0.293,0.05,0.581,0.689
3.0,3.104,0.302,0.062,0.575,0.693
3.1,3.203,0.312,0.075,0.569,0.698
3.2,3.303,0.322,0.09,0.562,0.703
3.3,3.402,0.333,0.105,0.556,0.709
3.4,3.501,0.346,0.122,0.549,0.715
3.5,3.6,0.359,0.14,0.542,0.722
3.6,3.699,0.374,0.16,0.535,0.729
3.7,3.798,0.391,0.182,0.528,0.737
3.8,3.896,0.409,0.206,0.522,0.745
3.9,3.994,0.429,0.232,0.516,0.754
4.0,4.091,0.452,0.26,0.51,0.763
4.1,4.188,0.477,0.289,0.504,0.773
4.2,4.284,0.505,0.321,0.499,0.783
4.3,4.379,0.536,0.354,0.495,0.793
4.4,4.473,0.57,0.388,0.492,0.804
4.5,4.566,0.608,0.422,0.489,0.814
4.6,4.657,0.65,0.456,0.486,0.825
4.7,4.745,0.696,0.488,0.485,0.835
4.8,4.832,0.746,0.518,0.484,0.845
4.9,4.916,0.801,0.544,0.484,0.855
5.0,4.996,0.86,0.564,0.485,0.865
5.1,5.074,0.923,0.58,0.486,0.874
5.2,5.147,0.991,0.59,0.488,0.882
5.3,5.216,1.063,0.593,0.49,0.89
5.4,5.281,1.139,0.592,0.493,0.897
5.5,5.341,1.219,0.585,0.496,0.903
5.6,5.397,1.303,0.575,0.499,0.909
5.7,5.447,1.389,0.561,0.503,0.914
5.8,5.493,1.478,0.546,0.506,0.918
5.9,5.534,1.569,0.529,0.509,0.922
6.0,5.569,1.662,0.513,0.512,0.924
6.1,5.6,1.758,0.497,0.514,0.927
6.2,5.627,1.854,0.483,0.516,0.928
6.3,5.648,1.952,0.471,0.517,0.929
6.4,5.665,2.05,0.461,0.518,0.93
6.5,5.677,2.15,0.455,0.518,0.93
